ก.	k-@@-z^-0|
ยั่วยุ	j-uua-z^-2|j-u-z^-3|
ยั้งคิด	j-a-ng^-3|kh-i-t^-3|
ยา	j-aa-z^-0|
ยาก	j-aa-k^-2|
ยากจน	j-aa-k^-2|c-o-n^-0|
ยากลำบาก	j-aa-k^-2|l-a-m^-0|b-aa-k^-1|
ยากเย็น	j-aa-k^-2|j-e-n^-0|
ยากแค้น	j-aa-k^-2|kh-xx-n^-3|
ยากไร้	j-aa-k^-2|r-a-j^-3|
ยางพารา	j-aa-ng^-0|ph-aa-z^-0|r-aa-z^-0|
ยาม	j-aa-m^-0|
ยาย	j-aa-j^-0|
ยาว	j-aa-w^-0|
ยาวนาน	j-aa-w^-0|n-aa-n^-0|
ยาวเหยียด	j-aa-w^-0|j-iia-t^-1|
ยาเสพติด	j-aa-z^-0|s-ee-p^-1|t-i-t^-1|
ยำเกรง	j-a-m^-0|kr-ee-ng^-0|
ยิง	j-i-ng^-0|
ยิน	j-i-n^-0|
ยินดี	j-i-n^-0|d-ii-z^-0|
ยินยอม	j-i-n^-0|j-@@-m^-0|
ยิว	j-i-w^-0|
ยิ่ง	j-i-ng^-2|
ยิ่งกว่า	j-i-ng^-2|kw-aa-z^-1|
ยิ่งกว่านั้น	j-i-ng^-2|kw-aa-z^-1|n-a-n^-3|
ยิ่งยวด	j-i-ng^-2|j-uua-t^-2|
ยิ่งหย่อน	j-i-ng^-2|j-@-n^-1|
ยิ่งใหญ่	j-i-ng^-2|j-a-j^-1|
ยี่	j-ii-z^-2|
ยี่สิบ	j-ii-z^-2|s-i-p^-1|
ยึด	j-v-t^-3|
ยึดครอง	j-v-t^-3|khr-@@-ng^-0|
ยึดถือ	j-v-t^-3|th-vv-z^-4|
ยึดมั่น	j-v-t^-3|m-a-n^-2|
ยึดเหนี่ยว	j-v-t^-3|n-iia-w^-1|
ยืด	j-vv-t^-2|
ยืดหยุ่น	j-vv-t^-2|j-u-n^-1|
ยืดเยื้อ	j-vv-t^-2|j-vva-z^-3|
ยืน	j-vv-n^-0|
ยืนกราน	j-vv-n^-0|kr-aa-n^-0|
ยืนต้น	j-vv-n^-0|t-o-n^-2|
ยืนยัน	j-vv-n^-0|j-a-n^-0|
ยืนยาว	j-vv-n^-0|j-aa-w^-0|
ยืม	j-vv-m^-0|
ยื่น	j-vv-n^-2|
ยุค	j-u-k^-3|
ยุติ	j-u-t^-3|
ยุติ	j-u-t^-3|t-i-z^-1|
ยุติ	j-u-z^-3|t-i-z^-1|
ยุติธรรม	j-u-t^-3|t-i-z^-1|th-a-m^-0|
ยุทธการ	j-u-t^-3|th-a-z^-3|k-aa-n^-0|
ยุทธศาสตร์	j-u-t^-3|th-a-z^-3|s-aa-t^-1|
ยุบ	j-u-p^-3|
ยุโรป	j-u-z^-3|r-oo-p^-1|
ยุ่ง	j-u-ng^-2|
ยุ่งยาก	j-u-ng^-2|j-aa-k^-2|
ยุ่งเกี่ยว	j-u-ng^-2|k-iia-w^-1|
ยุ้ง	j-u-ng^-3|
ยโสธร	j-a-z^-3|s-oo-z^-4|th-@@-n^-0|
ย่อ	j-@@-z^-2|
ย่อท้อ	j-@@-z^-2|th-@@-z^-3|
ย่อม	j-@-m^-2|
ย่อม	j-@@-m^-2|
ย่อย	j-@-j^-2|
ย่อย	j-@@-j^-2|
ย่า	j-aa-z^-2|
ย่าง	j-aa-ng^-2|
ย่าน	j-aa-n^-2|
ย่ำ	j-a-m^-2|
ย้อน	j-@@-n^-3|
ย้าย	j-aa-j^-3|
ย้ำ	j-a-m^-3|
ร	r-@@-z^-0|
รณรงค์	r-o-n^-0|n-a-z^-3|r-o-ng^-0|
รถ	r-o-t^-3|
รถประจำทาง	r-o-t^-3|pr-a-z^-1|c-a-m^-0|th-aa-ng^-0|
รถยนต์	r-o-t^-2|j-o-n^-0|
รถยนต์	r-o-t^-3|j-o-n^-0|
รถเมล์	r-o-t^-3|m-ee-z^-0|
รบ	r-o-p^-3|
รบกวน	r-o-p^-3|k-uua-n^-0|
รวดเร็ว	r-uua-t^-2|r-e-w^-0|
รวบยอด	r-uua-p^-2|j-@@-t^-2|
รวบรวม	r-uua-p^-2|r-uua-m^-0|
รวบรัด	r-uua-p^-2|r-a-t^-3|
รวม	r-uua-m^-0|
รส	r-o-t^-3|
รสช.	r-@@-z^-0|s-@@-z^-4|ch-@@-z^-0|
รสชาติ	r-o-t^-3|ch-aa-t^-2|
รสนิยม	r-o-t^-3|n-i-z^-3|j-o-m^-0|
รหัส	r-a-z^-3|h-a-t^-1|
รอ	r-@@-z^-0|
รอง	r-@@-ng^-0|
รองรับ	r-@@-ng^-0|r-a-p^-3|
รองเท้า	r-@@-ng^-0|th-aa-w^-3|
รอด	r-@@-t^-2|
รอดพ้น	r-@@-t^-2|ph-o-n^-3|
รอบ	r-@@-p^-2|
รอบคอบ	r-@@-p^-2|kh-@@-p^-2|
รอย	r-@@-j^-0|
ระงับ	r-a-z^-3|ng-a-p^-3|
ระดม	r-a-z^-3|d-o-m^-0|
ระดับ	r-a-z^-3|d-a-p^-1|
ระดู	r-a-z^-3|d-uu-z^-0|
ระบบ	r-a-z^-3|b-o-p^-1|
ระบอบ	r-a-z^-3|b-@@-p^-1|
ระบาด	r-a-z^-3|b-aa-t^-1|
ระบาย	r-a-z^-3|b-aa-j^-0|
ระบุ	r-a-z^-3|b-u-z^-1|
ระมัดระวัง	r-a-z^-3|m-a-t^-3|r-a-z^-3|w-a-ng^-0|
ระยอง	r-a-z^-3|j-@@-ng^-0|
ระยะ	r-a-z^-3|j-a-z^-3|
ระลึก	r-a-z^-3|l-v-k^-3|
ระวัง	r-a-z^-3|w-a-ng^-0|
ระหว่าง	r-a-z^-3|w-aa-ng^-1|
ระเบิด	r-a-z^-3|b-qq-t^-1|
ระเบียบ	r-a-z^-3|b-iia-p^-1|
รัก	r-a-k^-3|
รักษา	r-a-k^-3|s-aa-z^-4|
รักใคร่	r-a-k^-3|khr-a-j^-2|
รังสรรค์	r-a-ng^-0|s-a-n^-4|
รังสี	r-a-ng^-0|s-ii-z^-4|
รังเกียจ	r-a-ng^-0|k-iia-t^-1|
รัชกาล	r-a-t^-3|ch-a-z^-3|k-aa-n^-0|
รัชมังคลาภิเษก	r-a-t^-3|ch-a-z^-3|m-a-ng^-0|khl-aa-z^-0|ph-i-z^-3|s-ee-k^-1|
รัชสมัย	r-a-t^-3|ch-a-z^-3|s-a-z^-1|m-a-j^-4|
รัฐ	r-a-t^-3|
รัฐธรรมนูญ	r-a-t^-3|th-a-z^-1|th-a-m^-0|m-a-z^-3|n-uu-n^-0|
รัฐบาล	r-a-t^-3|th-a-z^-1|b-aa-n^-0|
รัฐประหาร	r-a-t^-3|th-a-z^-1|pr-a-z^-1|h-aa-n^-4|
รัฐมนตรี	r-a-t^-3|th-a-z^-1|m-o-n^-0|tr-ii-z^-0|
รัฐมนตรีว่าการ	r-a-t^-3|th-a-z^-1|m-o-n^-0|tr-ii-z^-0|w-aa-z^-2|k-aa-n^-0|
รัฐวิสาหกิจ	r-a-t^-3|w-i-z^-3|s-aa-z^-4|h-a-z^-1|k-i-t^-1|
รัฐศาสตร์	r-a-t^-3|th-a-z^-1|s-aa-t^-1|
รัฐสภา	r-a-t^-3|th-a-z^-1|s-a-z^-1|ph-aa-z^-0|
รัฐสภา	r-a-t^-3|th-a-z^-3|s-a-z^-1|ph-aa-z^-0|
รัตนโกสินทร์	r-a-t^-3|t-a-z^-1|n-a-z^-3|k-oo-z^-0|s-i-n^-4|
รัตนโกเศศ	r-a-t^-3|t-a-z^-1|n-a-z^-3|k-oo-z^-0|s-ee-t^-1|
รับ	r-a-p^-3|
รับช่วง	r-a-p^-3|ch-uua-ng^-2|
รับประทาน	r-a-p^-3|pr-a-z^-1|th-aa-n^-0|
รับผิดชอบ	r-a-p^-3|ph-i-t^-1|ch-@@-p^-2|
รับฟัง	r-a-p^-3|f-a-ng^-0|
รับรอง	r-a-p^-3|r-@@-ng^-0|
รับราชการ	r-a-p^-3|r-aa-t^-2|ch-a-z^-3|k-aa-n^-0|
รับรู้	r-a-p^-3|r-uu-z^-3|
รับหน้า	r-a-p^-3|n-aa-z^-2|
รับเหมา	r-a-p^-3|m-a-w^-4|
รับใช้	r-a-p^-3|ch-a-j^-3|
รัสเซีย	r-a-t^-3|s-iia-z^-0|
รา	r-aa-z^-0|
รากฐาน	r-aa-k^-2|th-aa-n^-4|
รากเหง้า	r-aa-k^-2|ng-a-w^-2|
ราคะ	r-aa-z^-0|kh-a-z^-3|
ราคา	r-aa-z^-0|kh-aa-z^-0|
รางวัล	r-aa-ng^-0|w-a-n^-0|
ราชการ	r-aa-t^-2|ch-a-z^-3|k-aa-n^-0|
ราชครู	r-aa-t^-2|ch-a-z^-3|khr-uu-z^-0|
ราชธน	r-aa-t^-2|ch-a-z^-3|th-o-n^-0|
ราชบัณฑิต	r-aa-t^-2|ch-a-z^-3|b-a-n^-0|d-i-t^-1|
ราชประเพณี	r-aa-t^-2|ch-a-z^-3|pr-a-z^-1|ph-ee-z^-0|n-ii-z^-0|
ราชมงคล	r-aa-t^-2|ch-a-z^-3|m-o-ng^-0|kh-o-n^-0|
ราชสมบัติ	r-aa-t^-2|ch-a-z^-3|s-o-m^-4|b-a-t^-1|
ราชอาณาจักร	r-aa-t^-2|ch-a-z^-3|z-aa-z^-0|n-aa-z^-0|c-a-k^-1|
ราบ	r-aa-p^-2|
ราบรื่น	r-aa-p^-2|r-vv-n^-2|
รามคำแหง	r-aa-m^-0|kh-a-m^-0|h-xx-ng^-4|
รามเกียรติ์	r-aa-m^-0|m-a-z^-3|k-iia-n^-0|
ราย	r-aa-j^-0|
รายการ	r-aa-j^-0|k-aa-n^-0|
รายงาน	r-aa-j^-0|ng-aa-n^-0|
รายจ่าย	r-aa-j^-0|c-aa-j^-1|
รายชื่อ	r-aa-j^-0|ch-vv-z^-2|
รายละเอียด	r-aa-j^-0|l-a-z^-3|z-iia-t^-1|
รายได้	r-aa-j^-0|d-aa-j^-2|
ราว	r-aa-w^-0|
ราศี	r-aa-z^-0|s-ii-z^-4|
ราษฎร	r-aa-t^-2|s-a-z^-1|d-@@-n^-0|
รำ	r-a-m^-0|
รำคาญ	r-a-m^-0|kh-aa-n^-0|
รำลึก	r-a-m^-0|l-v-k^-3|
ริดรอน	r-i-t^-3|r-@@-n^-0|
ริดสีดวง	r-i-t^-3|s-ii-z^-4|d-uua-ng^-0|
ริม	r-i-m^-0|
ริเริ่ม	r-i-z^-3|r-qq-m^-2|
รีด	r-ii-t^-2|
รีบ	r-ii-p^-2|
รีบด่วน	r-ii-p^-2|d-uua-n^-1|
รีบร้อน	r-ii-p^-2|r-@@-n^-3|
รีบเร่ง	r-ii-p^-2|r-e-ng^-2|
รีพับลิกัน	r-ii-z^-0|ph-a-p^-3|l-i-z^-3|k-a-n^-2|
รื่นรมย์	r-vv-n^-2|r-o-m^-0|
รื้อ	r-vv-z^-3|
รุก	r-u-k^-3|
รุกราน	r-u-k^-3|r-aa-n^-0|
รุดหน้า	r-u-t^-3|n-aa-z^-2|
รุนแรง	r-u-n^-0|r-xx-ng^-0|
รุมเร้า	r-u-m^-0|r-a-w^-3|
รุ่งขึ้น	r-u-ng^-2|kh-v-n^-2|
รุ่งเรือง	r-u-ng^-2|r-vva-ng^-0|
รุ่งโรจน์	r-u-ng^-2|r-oo-t^-2|
รุ่น	r-u-n^-2|
รูป	r-uu-p^-2|
รูปการณ์	r-uu-p^-2|k-aa-n^-0|
รูปธรรม	r-uu-p^-2|p-a-z^-1|th-a-m^-0|
รูปร่าง	r-uu-p^-2|r-aa-ng^-2|
รูปลักษณ์	r-uu-p^-2|l-a-k^-3|
รูปแบบ	r-uu-p^-2|b-xx-p^-1|
รูเบิล	r-uu-z^-0|b-q-n^-2|
รู้	r-uu-z^-3|
รู้จัก	r-uu-z^-3|c-a-k^-1|
รู้ดี	r-uu-z^-3|d-ii-z^-0|
รู้ตัว	r-uu-z^-3|t-uua-z^-0|
รู้สึก	r-uu-z^-3|s-v-k^-1|
รู้เท่าไม่ถึงการณ์	r-uu-z^-3|th-a-w^-2|m-a-j^-2|th-v-ng^-4|k-aa-n^-0|
รู้เรื่อง	r-uu-z^-3|r-vva-ng^-2|
ร่มเย็น	r-o-m^-2|j-e-n^-0|
ร่วม	r-uua-m^-2|
ร่วมงาน	r-uua-m^-2|ng-aa-n^-0|
ร่วมมือ	r-uua-m^-2|m-vv-z^-0|
ร่วมสมัย	r-uua-m^-2|s-a-z^-1|m-a-j^-4|
ร่องรอย	r-@@-ng^-2|r-@@-j^-0|
ร่าง	r-aa-ng^-2|
ร่างกาย	r-aa-ng^-2|k-aa-j^-0|
ร่าเริง	r-aa-z^-2|r-qq-ng^-0|
ร่ำรวย	r-a-m^-2|r-uua-j^-0|
ร่ำไป	r-a-m^-2|p-a-j^-0|
ร้อง	r-@@-ng^-3|
ร้องขอ	r-@@-ng^-3|kh-@@-z^-4|
ร้องเพลง	r-@@-ng^-3|phl-ee-ng^-0|
ร้องเรียน	r-@@-ng^-3|r-iia-n^-0|
ร้องไห้	r-@@-ng^-3|h-aa-j^-2|
ร้อน	r-@@-n^-3|
ร้อย	r-@@-j^-3|
ร้อยตำรวจเอก	r-@@-j^-3|t-a-m^-0|r-uua-t^-1|z-ee-k^-1|
ร้อยละ	r-@@-j^-3|l-a-z^-3|
ร้อยเอ็ด	r-@@-j^-3|z-e-t^-1|
ร้าน	r-aa-n^-3|
ร้าย	r-aa-j^-3|
ร้ายกาจ	r-aa-j^-3|k-aa-t^-1|
ร้ายแรง	r-aa-j^-3|r-xx-ng^-0|
ฤดู	r-v-z^-3|d-uu-z^-0|
ฤทธิ์	r-i-t^-3|
ล	l-@@-z^-0|
ลง	l-o-ng^-0|
ลงทุน	l-o-ng^-0|th-u-n^-0|
ลงนาม	l-o-ng^-0|n-aa-m^-0|
ลงมือ	l-o-ng^-0|m-vv-z^-0|
ลงรอย	l-o-ng^-0|r-@@-j^-0|
ลงเอย	l-o-ng^-0|z-qq-j^-0|
ลงโทษ	l-o-ng^-0|th-oo-t^-2|
ลด	l-o-t^-3|
ลดทอน	l-o-t^-3|th-@@-n^-0|
ลบ	l-o-p^-3|
ลม	l-o-m^-0|
ลวดลาย	l-uua-t^-2|l-aa-j^-0|
ลอกเลียน	l-@@-k^-2|l-iia-n^-0|
ลอง	l-@@-ng^-0|
ลอนดอน	l-@-n^-0|d-@-n^-0|
ลอบ	l-@@-p^-2|
ลอย	l-@@-j^-0|
ลอยฟ้า	l-@@-j^-0|f-aa-z^-3|
ละ	l-a-z^-3|
ละคร	l-a-z^-3|kh-@@-n^-0|
ละทิ้ง	l-a-z^-3|th-i-ng^-3|
ละออง	l-a-z^-3|z-@@-ng^-0|
ละอาย	l-a-z^-3|z-aa-j^-0|
ละเมิด	l-a-z^-3|m-qq-t^-2|
ละเลย	l-a-z^-3|l-qq-j^-0|
ละเล่น	l-a-z^-3|l-e-n^-2|
ละเอียด	l-a-z^-3|z-iia-t^-1|
ละเอียดลออ	l-a-z^-3|z-iia-t^-1|l-a-z^-3|z-@@-z^-0|
ละเอียดอ่อน	l-a-z^-3|z-iia-t^-1|z-@@-n^-1|
ละแวก	l-a-z^-3|w-xx-k^-2|
ลักกี้	l-a-k^-3|k-ii-z^-2|
ลักลอบ	l-a-k^-3|l-@@-p^-2|
ลักลั่น	l-a-k^-3|l-a-n^-2|
ลักษณะ	l-a-k^-3|s-a-z^-1|n-a-z^-1|
ลังกา	l-a-ng^-0|k-aa-z^-0|
ลังกาวี	l-a-ng^-0|k-aa-z^-0|w-ii-z^-0|
ลังเล	l-a-ng^-0|l-ee-z^-0|
ลัทธิ	l-a-t^-3|th-i-z^-3|
ลับ	l-a-p^-3|
ลั่น	l-a-n^-2|
ลา	l-aa-z^-0|
ลาง	l-aa-ng^-0|
ลาด	l-aa-t^-2|
ลาดชัน	l-aa-t^-2|ch-a-n^-0|
ลายมือ	l-aa-j^-0|m-vv-z^-0|
ลายสือ	l-aa-j^-0|s-vv-z^-4|
ลาว	l-aa-w^-0|
ลาออก	l-aa-z^-0|z-@@-k^-1|
ลำ	l-a-m^-0|
ลำคอ	l-a-m^-0|kh-@@-z^-0|
ลำดับ	l-a-m^-0|d-a-p^-1|
ลำน้ำ	l-a-m^-0|n-aa-m^-3|
ลำบาก	l-a-m^-0|b-aa-k^-1|
ลำพัง	l-a-m^-0|ph-a-ng^-0|
ลำพูน	l-a-m^-0|ph-uu-n^-0|
ลำเลียง	l-a-m^-0|l-iia-ng^-0|
ลำเอียง	l-a-m^-0|z-iia-ng^-0|
ลิง	l-i-ng^-0|
ลิไท	l-i-z^-3|th-a-j^-0|
ลิ้น	l-i-n^-3|
ลีลา	l-ii-z^-0|l-aa-z^-0|
ลี้ลับ	l-ii-z^-3|l-a-p^-3|
ลึก	l-v-k^-3|
ลึกซึ้ง	l-v-k^-3|s-v-ng^-3|
ลึกลับ	l-v-k^-3|l-a-p^-3|
ลืม	l-vv-m^-0|
ลือ	l-vv-z^-0|
ลุ	l-u-z^-3|
ลุก	l-u-k^-3|
ลุกฮือ	l-u-k^-3|h-vv-z^-0|
ลุง	l-u-ng^-0|
ลุงชาน	l-u-ng^-0|ch-aa-n^-0|
ลุล่วง	l-u-z^-3|l-uua-ng^-2|
ลุ่มน้ำ	l-u-m^-2|n-aa-m^-3|
ลุ่มลึก	l-u-m^-2|l-v-k^-3|
ลูก	l-uu-k^-2|
ลูกค้า	l-uu-k^-2|kh-aa-z^-3|
ลูกจ้าง	l-uu-k^-2|c-aa-ng^-2|
ลูกตา	l-uu-k^-2|t-aa-z^-0|
ลูกน้อง	l-uu-k^-2|n-@@-ng^-3|
ลูกบาศก์	l-uu-k^-2|b-aa-t^-1|
ลูกผสม	l-uu-k^-2|ph-a-z^-1|s-o-m^-4|
ลูกศิษย์	l-uu-k^-2|s-i-t^-1|
ลูกสาว	l-uu-k^-2|s-aa-w^-4|
ลูกหนี้	l-uu-k^-2|n-ii-z^-2|
ลูกเขย	l-uu-k^-2|kh-qq-j^-4|
ลูกโซ่	l-uu-k^-2|s-oo-z^-2|
ลูบ	l-uu-p^-2|
ลูเซียโน	l-uu-z^-0|s-iia-z^-0|n-oo-z^-2|
ลู่ทาง	l-uu-z^-2|th-aa-ng^-0|
ล่มจม	l-o-m^-2|c-o-m^-0|
ล่วง	l-uua-ng^-2|
ล่วงหน้า	l-uua-ng^-2|n-aa-z^-2|
ล่ะ	l-a-z^-2|
ล่าง	l-aa-ng^-2|
ล่าช้า	l-aa-z^-2|ch-aa-z^-3|
ล่าสุด	l-aa-z^-2|s-u-t^-1|
ล้นพ้น	l-o-n^-3|ph-o-n^-3|
ล้ม	l-o-m^-3|
ล้มล้าง	l-o-m^-3|l-aa-ng^-3|
ล้มเหลว	l-o-m^-3|l-ee-w^-4|
ล้วน	l-uua-n^-3|
ล้วนแต่	l-uua-n^-3|t-xx-z^-1|
ล้วนแล้ว	l-uua-n^-3|l-xx-w^-3|
ล้อม	l-@@-m^-3|
ล้อเลียน	l-@@-z^-3|l-iia-n^-0|
ล้อเล่น	l-@@-z^-3|l-e-n^-2|
ล้าง	l-aa-ng^-3|
ล้าน	l-aa-n^-3|
ล้านนา	l-aa-n^-3|n-aa-z^-0|
ล้าหลัง	l-aa-z^-3|l-a-ng^-4|
วง	w-o-ng^-0|
วงการ	w-o-ng^-0|k-aa-n^-0|
วงจร	w-o-ng^-0|c-@@-n^-0|
วงศ์วรรณ	w-o-ng^-0|w-a-n^-0|
วงศ์วานิช	w-o-ng^-0|w-aa-z^-0|n-i-t^-3|
วงศ์ๆ	w-o-ng^-0|w-o-ng^-0|
วงเงิน	w-o-ng^-0|ng-q-n^-0|
วน	w-o-n^-0|
วนเกษตร	w-a-z^-3|n-a-z^-3|k-a-z^-1|s-ee-t^-1|
วรรค	w-a-k^-3|
วรรณกรรม	w-a-n^-0|n-a-z^-3|k-a-m^-0|
วรรณคดี	w-a-n^-0|n-a-z^-3|kh-a-z^-3|d-ii-z^-0|
วรรณศิลป์	w-a-n^-0|n-a-z^-3|s-i-n^-4|
วรรณะ	w-a-n^-0|n-a-z^-3|
วรศักดิ์	w-@@-z^-0|r-a-z^-3|s-a-k^-1|
วลี	w-a-z^-3|l-ii-z^-0|
วสันต์	w-a-z^-3|s-a-n^-4|
วอชิงตัน	w-@@-z^-0|ch-i-ng^-0|t-a-n^-0|
วอร์ซอ	w-@@-z^-0|s-@@-z^-0|
วัคซีน	w-a-k^-3|s-ii-n^-0|
วัง	w-a-ng^-0|
วังกานนท์	w-a-ng^-0|k-aa-z^-0|n-o-n^-0|
วัชพืช	w-a-t^-3|ch-a-z^-3|ph-vv-t^-2|
วัฒนธรรม	w-a-t^-3|th-a-z^-3|n-a-z^-3|th-a-m^-0|
วัด	w-a-t^-3|
วัตถุ	w-a-t^-3|th-u-z^-1|
วัตถุดิบ	w-a-t^-3|th-u-z^-1|d-i-p^-1|
วัตถุธรรม	w-a-t^-3|th-u-z^-1|th-a-m^-0|
วัตถุนิยม	w-a-t^-3|th-u-z^-1|n-i-z^-3|j-o-m^-0|
วัตถุประสงค์	w-a-t^-3|th-u-z^-1|pr-a-z^-1|s-o-ng^-4|
วัน	w-a-n^-0|
วันที่	w-a-n^-0|th-ii-z^-2|
วันนี้	w-a-n^-0|n-ii-z^-3|
วันหนึ่ง	w-a-n^-0|n-v-ng^-1|
วันเกิด	w-a-n^-0|k-qq-t^-1|
วัย	w-a-j^-0|
วัยรุ่น	w-a-j^-0|r-u-n^-2|
วัลลีย์	w-a-n^-0|l-ii-z^-0|
วัสดุ	w-a-t^-3|s-a-z^-1|d-u-z^-1|
วาง	w-aa-ng^-0|
วางแผน	w-aa-ng^-0|ph-xx-n^-4|
วาจา	w-aa-z^-0|c-aa-z^-0|
วาด	w-aa-t^-2|
วาทศิลป์	w-aa-z^-0|th-a-z^-3|s-i-n^-4|
วายร้าย	w-aa-j^-0|r-aa-j^-3|
วารสาร	w-aa-z^-0|r-a-z^-3|s-aa-n^-4|
วาระ	w-aa-z^-0|r-a-z^-3|
วาสนา	w-aa-t^-2|s-a-z^-1|n-aa-z^-4|
วิกฤตการณ์	w-i-z^-3|kr-i-t^-1|t-a-z^-1|k-aa-n^-0|
วิกฤติ	w-i-z^-3|kr-i-t^-1|
วิกฤติการณ์	w-i-z^-3|kr-i-t^-1|t-a-z^-1|k-aa-n^-0|
วิกลจริต	w-i-z^-3|k-o-n^-0|c-a-z^-1|r-i-t^-1|
วิงเวียน	w-i-ng^-0|w-iia-n^-0|
วิจัย	w-i-z^-3|c-a-j^-0|
วิจารณญาณ	w-i-z^-3|c-aa-z^-0|r-a-z^-3|n-a-z^-3|j-aa-n^-0|
วิจารณ์	w-i-z^-3|c-aa-n^-0|
วิจิตร	w-i-z^-3|c-i-t^-1|
วิชา	w-i-z^-3|ch-aa-z^-0|
วิชาการ	w-i-z^-3|ch-aa-z^-0|k-aa-n^-0|
วิชาชีพ	w-i-z^-3|ch-aa-z^-0|ch-ii-p^-2|
วิญญาณ	w-i-n^-0|j-aa-n^-0|
วิตก	w-i-z^-3|t-o-k^-1|
วิตกกังวล	w-i-z^-3|t-o-k^-1|k-a-ng^-0|w-o-n^-0|
วิตามิน	w-i-z^-3|t-aa-z^-0|m-i-n^-0|
วิถี	w-i-z^-3|th-ii-z^-4|
วิถีชีวิต	w-i-z^-3|th-ii-z^-4|ch-ii-z^-0|w-i-t^-3|
วิถีทาง	w-i-z^-3|th-ii-z^-4|th-aa-ng^-0|
วิทยา	w-i-t^-3|th-a-z^-3|j-aa-z^-0|
วิทยาการ	w-i-t^-3|th-a-z^-3|j-aa-z^-0|k-aa-n^-0|
วิทยาลัย	w-i-t^-3|th-a-z^-3|j-aa-z^-0|l-a-j^-0|
วิทยาศาสตร์	w-i-t^-3|th-a-z^-3|j-aa-z^-0|s-aa-t^-1|
วิทยาเขต	w-i-t^-3|th-a-z^-3|j-aa-z^-0|kh-ee-t^-1|
วิทยุ	w-i-t^-3|th-a-z^-3|j-u-z^-3|
วิธี	w-i-z^-3|th-ii-z^-0|
วิธีการ	w-i-z^-3|th-ii-z^-0|k-aa-n^-0|
วินัย	w-i-z^-3|n-a-j^-0|
วินาศกรรม	w-i-z^-3|n-aa-t^-2|s-a-z^-1|k-a-m^-0|
วินิจฉัย	w-i-z^-3|n-i-t^-3|ch-a-j^-4|
วิพากษ์	w-i-z^-3|ph-aa-k^-2|
วิมล	w-i-z^-3|m-o-n^-0|
วิมัตินิยม	w-i-z^-3|m-a-t^-3|n-i-z^-3|j-o-m^-0|
วิริยะ	w-i-z^-3|r-i-z^-3|j-a-z^-3|
วิวัฒนาการ	w-i-z^-3|w-a-t^-3|th-a-z^-3|n-aa-z^-0|k-aa-n^-0|
วิศว	w-i-t^-3|s-a-z^-1|w-a-z^-3|
วิศวกร	w-i-t^-3|s-a-z^-1|w-a-z^-3|k-@@-n^-0|
วิศวกรรม	w-i-t^-3|s-a-z^-1|w-a-z^-3|k-a-m^-0|
วิศวกรรมศาสตร์	w-i-t^-3|s-a-z^-1|w-a-z^-3|k-a-m^-0|m-a-z^-3|s-aa-t^-1|
วิสัทลักษณ์	w-i-z^-3|s-a-t^-1|th-a-z^-3|l-a-k^-3|
วิสัย	w-i-z^-3|s-a-j^-4|
วิสามัญ	w-i-z^-3|s-aa-z^-4|m-a-n^-0|
วิอาญา	w-i-z^-3|z-aa-z^-0|j-aa-z^-0|
วิเคราะห์	w-i-z^-3|khr-@-z^-3|
วิเชษฐ	w-i-z^-3|ch-ee-t^-2|
วิเทศธนกิจ	w-i-z^-3|th-ee-t^-2|th-a-z^-3|n-a-z^-3|k-i-t^-1|
วิเศษ	w-i-z^-3|s-ee-t^-1|
วิเศษณ์	w-i-z^-3|s-ee-t^-1|
วิโรจน์	w-i-z^-3|r-oo-t^-2|
วิ่ง	w-i-ng^-2|
วิ่งเต้น	w-i-ng^-2|t-e-n^-2|
วีรบุรุษ	w-ii-z^-0|r-a-z^-3|b-u-z^-1|r-u-t^-1|
วีระ	w-ii-z^-0|r-a-z^-3|
วุฒิปรีชา	w-u-t^-3|th-i-z^-3|pr-ii-z^-0|ch-aa-z^-0|
วุฒิสภา	w-u-t^-3|th-i-z^-3|s-a-z^-1|ph-aa-z^-0|
วุ่นวาย	w-u-n^-2|w-aa-j^-0|
วูบ	w-uu-p^-2|
ว่า	w-aa-z^-2|
ว่าการ	w-aa-z^-2|k-aa-n^-0|
ว่าง	w-aa-ng^-2|
ว่างงาน	w-aa-ng^-2|ng-aa-n^-0|
ว่างเปล่า	w-aa-ng^-2|pl-aa-w^-1|
ว่าจ้าง	w-aa-z^-2|c-aa-ng^-2|
ว้าวุ่น	w-aa-z^-3|w-u-n^-2|
ว้าเหว่	w-aa-z^-3|w-ee-z^-1|
ศก	s-o-k^-1|
ศตวรรษ	s-a-z^-1|t-a-z^-1|w-a-t^-3|
ศพ	s-o-p^-1|
ศรัทธา	s-a-t^-1|th-aa-z^-0|
ศรี	s-ii-z^-4|
ศรีปราชญ์	s-ii-z^-4|pr-aa-t^-1|
ศรีเมือง	s-ii-z^-4|m-vva-ng^-0|
ศักดินา	s-a-k^-1|d-i-z^-1|n-aa-z^-0|
ศักดิ์	s-a-k^-1|
ศักดิ์ศรี	s-a-k^-1|s-ii-z^-4|
ศักดิ์สิทธิ์	s-a-k^-1|s-i-t^-1|
ศักยภาพ	s-a-k^-1|k-a-z^-1|j-a-z^-3|ph-aa-p^-2|
ศักราช	s-a-k^-1|k-a-z^-1|r-aa-t^-1|
ศัตรู	s-a-t^-1|tr-uu-z^-0|
ศัพท์	s-a-p^-1|
ศาล	s-aa-n^-4|
